hub,category,sku,shipped_qty,avg_shipped_qty,current_stock,stock_month,stock_turn,sd_shipped_qty,mode,leg_days,wh_days,leadtime_days,handling_cost,leadtime_days_sd,service_level,holding_cost_per_unit_year,lat,lng,color,safety_stock,eoq,rop,days_to_rop,recommended_mode,rop_date,actual_eoq,expected_pull_next_90d,console_support
DHOBY,B,SKU_BB,180000,30000.0,767000,25.56666667,0.469361147,3000.0,Air,8,3,11,30000,1.1,0.9,12,53.4264,-6.244733,0,2697,42426,13539,764.4364152,Ocean,4/2/2025,42426.0,267732.0,True
DHOBY,B,SKU_BC,200000,33333.33333,64000,1.92,6.25,3333.333333,Ocean,42,10,52,14000,5.2,0.9,12,53.4264,-6.244733,0,9189,30551,66137,0.0,Air,2/1/2023,91653.0,91653.0,False
DHOBY,B,SKU_BC,200000,33333.33333,64000,1.92,6.25,3333.333333,Air,8,3,11,30000,1.1,0.9,12,53.4264,-6.244733,0,2996,44721,15043,44.70312627,Air,15/2/2023,44721.0,44721.0,True
DHOBY,B,SKU_BD,224000,37333.33333,64000,1.714285714,7.0,3733.333333,Ocean,42,10,52,14000,5.2,0.9,12,53.4264,-6.244733,0,10292,32332,74074,0.0,Air,2/1/2023,96996.0,96996.0,False
DHOBY,B,SKU_BD,224000,37333.33333,64000,1.714285714,7.0,3733.333333,Air,8,3,11,30000,1.1,0.9,12,53.4264,-6.244733,0,3356,47329,16848,38.441931,Air,9/2/2023,47329.0,47329.0,True
DHOBY,B,SKU_AQ,117000,19500.0,332000,17.02564103,0.704819277,1950.0,Ocean,42,10,52,14000,5.2,0.9,12,53.4264,-6.244733,0,5376,23367,38691,457.8177453,Ocean,3/4/2024,46734.0,228944.0,True
DHOBY,B,SKU_AQ,117000,19500.0,332000,17.02564103,0.704819277,1950.0,Air,8,3,11,30000,1.1,0.9,12,53.4264,-6.244733,0,1753,34205,8800,504.4737641,Ocean,20/5/2024,34205.0,79812.0,True
DHOBY,B,SKU_BE,160500,26750.0,76000,2.841121495,4.223684211,2675.0,Ocean,42,10,52,14000,5.2,0.9,12,53.4264,-6.244733,0,7374,27368,53075,26.08479346,Ocean,28/1/2023,54736.0,54736.0,True
DHOBY,B,SKU_BE,160500,26750.0,76000,2.841121495,4.223684211,2675.0,Air,8,3,11,30000,1.1,0.9,12,53.4264,-6.244733,0,2405,40062,12073,72.73817193,Ocean,15/3/2023,40062.0,40062.0,True
SERANGOON,B,SKU_BF,319320,53220.0,715680,13.4475761,0.892354125,5322.0,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1805,1032,5302,406.2716119,Ocean,12/2/2024,6192.0,,
SERANGOON,B,SKU_BF,319320,53220.0,715680,13.4475761,0.892354125,5322.0,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1805,1032,5302,406.2716119,Ocean,12/2/2024,6192.0,,
SERANGOON,B,SKU_BG,259056,43176.0,73919,1.712039096,7.00918573,4317.6,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1464,929,4301,49.07733616,Ocean,20/2/2023,4645.0,4645.0,True
SERANGOON,B,SKU_BG,259056,43176.0,73919,1.712039096,7.00918573,4317.6,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1464,929,4301,49.07733616,Ocean,20/2/2023,4645.0,4645.0,True
SERANGOON,B,SKU_BH,326644,54440.66667,182020,3.343456485,3.589100099,5444.066667,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1846,1043,5423,98.7328631,Ocean,10/4/2023,6258.0,,
SERANGOON,B,SKU_BH,326644,54440.66667,182020,3.343456485,3.589100099,5444.066667,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1846,1043,5423,98.7328631,Ocean,10/4/2023,6258.0,,
SERANGOON,B,SKU_BI,1934586,322431.0,2575779,7.988620821,1.502136635,32243.1,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,10935,2539,32122,240.1173836,Ocean,30/8/2023,33007.0,,
SERANGOON,B,SKU_BI,1934586,322431.0,2575779,7.988620821,1.502136635,32243.1,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,10935,2539,32122,240.1173836,Ocean,30/8/2023,33007.0,,
SERANGOON,B,SKU_BJ,265400,44233.33333,117220,2.650037679,4.528237502,4423.333333,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1500,941,4407,77.62673582,Ocean,20/3/2023,4705.0,4705.0,True
SERANGOON,B,SKU_BJ,265400,44233.33333,117220,2.650037679,4.528237502,4423.333333,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1500,941,4407,77.62673582,Ocean,20/3/2023,4705.0,4705.0,True
SERANGOON,B,SKU_BK,460000,76666.66667,572700,7.47,1.606425703,7666.666667,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,2600,1238,7638,224.3320708,Ocean,14/8/2023,8666.0,,
SERANGOON,B,SKU_BK,460000,76666.66667,572700,7.47,1.606425703,7666.666667,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,2600,1238,7638,224.3320708,Ocean,14/8/2023,8666.0,,
